Jahr;UEckwert0;UEckwert1;UEckwert2;UEckwert3;UEckwert4;Satz0;Satz1;Satz2;Satz3;Satz4
2000;0;6902;8945;58643;500000;0;0,229;0,25;0,51;0,51
2001;0;7206;9249;54998;500000;0;0,199;0,23;0,485;0,485
2002;0;7235;9251;55007;500000;0;0,199;0,23;0,485;0,485
2003;0;7235;9251;55007;500000;0;0,199;0,23;0,485;0,485
2004;0;7664;12739;52151;500000;0;0,16;0,2405;0,45;0,45
2005;0;7664;12739;52151;500000;0;0,15;0,2397;0,42;0,42
2006;0;7664;12739;52151;500000;0;0,15;0,2397;0,42;0,42
2007;0;7664;12739;52151;250000;0;0,15;0,2397;0,42;0,45
2008;0;7664;12739;52151;250000;0;0,15;0,2397;0,42;0,45
2009;0;7834;13139;52551;250400;0;0,14;0,2397;0,42;0,45
2010;0;8004;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2011;0;8004;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2012;0;8004;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2013;0;8130;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2014;0;8354;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2015;0;8472;13469;52881;250730;0;0,14;0,2397;0,42;0,45
2016;0;8652;13669;53665;254447;0;0,14;0,2397;0,42;0,45
2017;0;8820;13769;54057;256303;0;0,14;0,2397;0,42;0,45
2018;0;9000;13996;54949;260532;0;0,14;0,2397;0,42;0,45
2019;0;9168;14254;55960;265326;0;0,14;0,2397;0,42;0,45
2020;0;9408;14532;57051;270500;0;0,14;0,2397;0,42;0,45
2021;0;9744;14753;57918;274612;0;0,14;0,2397;0,42;0,45
2022;0;10347;14926;58596;277825;0;0,14;0,2397;0,42;0,45
2023;0;10632;15786;61971;277825;0;0,14;0,2397;0,42;0,45
2024;0;10932;16179;63514;277825;0;0,14;0,2397;0,42;0,45
